pname,society,price,price_per_sqft,total_area,area_sqm,area_type,possesion,description,Dimensions,Price,Address,Facing,No. of Open Sides,Overlooking,Possession,Boundary wall,Gated Society,Width of facing road,Authority approved,Floors Allowed For Construction,Corner Property
"Residential land / Plot in Bhauri, Bhopal","Bhauri, Bhopal",₹30 Lac,"₹2,400 /sqft","1,250 sqft",(116 sqm),Plot Area,Ready To Move,The plot is located near indore mp nagar bypass and police academy,"Plot area 1250
(116.13 sq.m.)  
sq.ft.","₹ 30 Lac
@ 2,400 per sq.ft. (Negotiable)","Bhauri, Bhopal",,4.0,,Immediate,Yes,,,,,
"Residential land / Plot in Data Colony, Bhopal","Data Colony, Bhopal",₹1.65 Cr,"₹2,538 /sqft","6,500 sqft",(604 sqm),Plot Area,Ready To Move,"Prime corner plot for sale. Ideal for warehouse or commercial shops Unlock the potential of this premium corner plot, strategically located with road access on two sides, offering maximum visibility and ease of access. Situated opposite the revered hanuman mandir, near petrol pump (100 meters away), this plot is perfectly positioned for commercial ventures such as warehouses, retail outlets, or...","Plot area 6500
(603.87 sq.m.)  
sq.ft.","₹ 1.65 Crore+ Govt Charges & Tax
@ 2,538 per sq.ft.","Data Colony, Bhopal",,2.0,,Immediate,Yes,,,,,Yes
"Residential land / Plot in Hinotiya Alam, Bhopal","Hinotiya Alam, Bhopal",₹20 Lac,"₹4,192 /sqft",477 sqft,(44 sqm),Plot Area,Ready To Move,"We are the proud owners of this 0 bhk apartment available in , hinotiya alam, bhopal. This is a . Price on request. It is a resale and a ready to move in apartment. The unit is located on null floor and has . It has bathroom(s). The ownership is freehold type. The property has water storage. It overlooks a 25.00 sq.Ft. Wide road.","Plot area 477
(44.31 sq.m.)
l x b : 30.00 ft.(9.14 mt.) x 16.00 ft.(4.88 mt.)  
sq.ft.","₹ 20 Lac+ Govt Charges & Tax
@ 4,192 per sq.ft.","Hinotiya Alam, Bhopal",East,1.0,,Immediate,No,,25.0 Feet,,,
"Residential land / Plot in shamli, Bhopal","shamli, Bhopal",₹32 Lac,"₹2,560 /sqft","1,250 sqft",(116 sqm),Plot Area,Ready To Move,"I have a land available for sale in bypass road, shamli. Available at price of rs 32 lacs. It has plot area of 1250 sq ft. It is a freehold property","Plot area 1250
(116.13 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 25.00 ft.(7.62 mt.)  
sq.ft.","₹ 32 Lac+ Govt Charges & Tax
@ 2,560 per sq.ft. (All inclusive, Negotiable)","shamli, Bhopal",West,1.0,"Park/Garden,Main Road",,,Yes,,Yes,,
"Residential land / Plot in Kolar, Bhopal","Kolar, Bhopal",₹1.16 Cr,"₹4,000 /sqft","2,900 sqft",(269 sqm),Plot Area,Ready To Move,Selling the plot for making house and commercial purpose,"Plot area 2900
(269.42 sq.m.)
l x b : 45.00 ft.(13.72 mt.) x 6.00 ft.(1.83 mt.)  
sq.ft.","₹ 1.16 Crore
@ 4,000 per sq.ft. (Negotiable)","Kolar, Bhopal",North-West,3.0,"Park/Garden,Main Road,Others,Club",Immediate,,,,,,Yes
"Residential land / Plot in Amrawad Khurd, Bhopal",Wazir Amravad Residency,₹56.5 Lac,"₹4,520 /sqft","1,250 sqft",(116 sqm),Plot Area,Ready To Move,"The land is in a covered campus. The environment here is very peaceful and clean. There is a garden in front of the plot, water facility is available, and most importantly, it is a secure place.","Plot area 1250
(116.13 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 25.00 ft.(7.62 mt.)  
sq.ft.","₹ 56.5 Lac+ Govt Charges & Tax
@ 4,520 per sq.ft. (All inclusive, Negotiable)","Wazir Amravad Residency
Amrawad Khurd, Bhopal",West,3.0,"Park/Garden,Club,Main Road",,,Yes,,Yes,,
"Residential land / Plot in Bairagarh, Bhopal","Bairagarh, Bhopal",₹9 Lac,₹600 /sqft,"1,500 sqft",(139 sqm),Plot Area,Ready To Move,This property is good for investment,"Plot area 1500
(139.35 sq.m.)  
sq.ft.","₹ 9 Lac
@ 600 per sq.ft. (Negotiable)","Bairagarh, Bhopal",,4.0,,Immediate,No,,,,0 Floors,
"Residential land / Plot in Sant Ashram Nagar, Bhopal","Sant Ashram Nagar, Bhopal",₹80 Lac,"₹5,333 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,"Plot 1500 sq ft near digambar jain mandir in sant asharam nagar . 1 km from ashima mall, Nearby park, gym, market, school all settled clean society .","Plot area 1500
(139.35 sq.m.)  
sq.ft.","₹ 80 Lac+ Govt Charges & Tax
@ 5,333 per sq.ft. (All inclusive)","Sant Ashram Nagar, Bhopal",East,1.0,"Park/Garden,Main Road",Immediate,,,,,3 Floors,
"Residential land / Plot in Kolar Road, Bhopal",Ultimate Garden City,₹15.54 Lac,"₹1,850 /sqft",840 sqft,(78 sqm),Plot Area,Ready To Move,"Plot available at main 6 lane kolar road bhopal near mother teresa school, tncp approved covered campus.","Plot area 840
(78.04 sq.m.)
l x b : 40.00 ft.(12.19 mt.) x 21.00 ft.(6.40 mt.)  
sq.ft.","₹ 15.54 Lac
@ 1,850 per sq.ft.","Ultimate Garden City
Kolar Road, Bhopal",East,2.0,Park/Garden,,,Yes,,,,Yes
"Residential land / Plot in Samardha, Bhopal",Signature S Nine,₹40 Lac,"₹3,996 /sqft","1,001 sqft",(93 sqm),Plot Area,Ready To Move,Corner plot signature s9.. Beautiful plot 2side garden facing..,"Plot area 1001
(93 sq.m.)  
sq.ft.","₹ 40 Lac
@ 3,996 per sq.ft. (Negotiable)","Signature S Nine
Samardha, Bhopal",East,2.0,"Club,Main Road,Park/Garden",,,Yes,,,,Yes
"Residential land / Plot in Kolar Road, Bhopal","Kolar Road, Bhopal",₹1.25 Cr,"₹8,333 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,"Looking for buyer to purchase our land available for sale in kolar road, bhopal. Available at price of rs 1.25 crores. It has plot area of 1500 sq ft. It is a freehold property","Plot area 1500
(139.35 sq.m.)  
sq.ft.","₹ 1.25 Crore
@ 8,333 per sq.ft.","Kolar Road, Bhopal",,,,Immediate,No,,,,,
"Residential land / Plot in Kolar Road, Bhopal","Kolar Road, Bhopal",₹53.75 Lac,"₹4,300 /sqft","1,250 sqft",(116 sqm),Plot Area,Under Construction,Kolar road is an ideal location for buying residential plots in bhopal. This plot in kolar road is a great buy for you. This 1250 sq.Ft. Super built up area plot is your opportunity to build a exceptional residence. This residential plot provides you with the opportunity to get possession immediately as it is ready to move. The owner of the property has freehold entitlement over the land. The a...,"Plot area 1250
(116.13 sq.m.)  
sq.ft.","₹ 53.75 Lac
@ 4,300 per sq.ft.","Kolar Road, Bhopal",,1.0,,undefined,No,,,,,
"Residential land / Plot in Vidisha Road, Bhopal",Vaishno Saubhagya City,₹6.88 Lac,₹625 /sqft,"1,100 sqft",(102 sqm),Plot Area,Under Construction,This plot in vidisha road provides you great opportunity to build a fabulous residence in bhopal. It spans over spectacular 1100 sq.Ft. Super built up area. No delay in acquiring possession. It's a ready to move property. Currently the nature of ownership of the property is freehold. The expected price for the property is just 6.88 lac. It's a north-Facing plot.,"Plot area 1100
(102.19 sq.m.)  
sq.ft.","₹ 6.88 Lac
@ 625 per sq.ft. View Price Details","Vaishno Saubhagya City
Vidisha Road, Bhopal",North,1.0,,undefined,No,,,,,
"Residential land / Plot in Saket Nagar, Bhopal","Saket Nagar, Bhopal",₹1.5 Cr,"₹5,172 /sqft","2,900 sqft",(269 sqm),Plot Area,Under Construction,"Planning to purchase a plot in bhopal? This plot in saket nagar is situated in one of the excellent locations of the city. The plot is around super built up area of 2900 sq.Ft. In size. The possession of the property can be expected immediately, since it is ready to move. The property belongs to owner through freehold ownership. This residential plot is all yours for 1.5 crore.","Plot area 2900
(269.42 sq.m.)  
sq.ft.","₹ 1.5 Crore
@ 5,172 per sq.ft.","Saket Nagar, Bhopal",,1.0,,undefined,No,,,,,
"Residential land / Plot in Mandideep, Bhopal","Mandideep, Bhopal",₹10 Lac,"₹1,087 /sqft",920 sqft,(85 sqm),Plot Area,Under Construction,Looking for a plot in a prime location of bhopal? This plot in mandideep is the best deal for you. It spreads over 920 sq.Ft. Super built up area. This residential plot is ready to move. The property is owned under freehold contract. The plot is available at a price of 10 lac. It's a east-Facing plot.,"Plot area 920
(85.47 sq.m.)  
sq.ft.","₹ 10 Lac
@ 1,087 per sq.ft. View Price Details","Mandideep, Bhopal",East,1.0,,undefined,No,,,,,
"Residential land / Plot in Pipaliya Jahirpeer, Bhopal","Pipaliya Jahirpeer, Bhopal",₹24.5 Lac,₹626 /sqft,"3,909 sqft",(363 sqm),Plot Area,Ready To Move,Farm house sale at pipaliya jahir kalyanpur chourha kokta by pass road bhopal size 3909 sqft.,"Plot area 3909
(363.16 sq.m.)
l x b : 79.00 ft.(24.08 mt.) x 50.00 ft.(15.24 mt.)  
sq.ft.","₹ 24.5 Lac
@ 626 per sq.ft. (All inclusive, Negotiable)","Pipaliya Jahirpeer, Bhopal",,1.0,,Immediate,No,,,,,
"Residential land / Plot in Shiv City, Bhopal","Shiv City, Bhopal",₹8 Lac,"₹1,777 /sqft",450 sqft,(42 sqm),Plot Area,Ready To Move,Planning to build residence in bhopal? This plot in shiv city is the best deal for you. It spans over spectacular 450 sq.Ft. Super built up area. This property allows you to construct upto 4 floors. Expected possession of property immediately. The owner of the property has freehold entitlement over the land. The asking price is only 8 lac. This plot is facing the north direction. The plot locat...,"Plot area 450
(41.81 sq.m.)  
sq.ft.","₹ 8 Lac
@ 1,777 per sq.ft.","Shiv City, Bhopal",North,1.0,,Immediate,No,,,,4 Floors,
"Residential land / Plot in Airport Road, Bhopal",Chinarr Nivaasaa,₹20 Lac,"₹1,333 /sqft","1,500 sqft",(139 sqm),Plot Area,Under Construction,"This plot in airport road provides you great opportunity to build a fabulous residence in bhopal. It's a 1500 sq.Ft. Super built up area property. The possession of the property can be expected immediately, since it is ready to move. The property belongs to owner through freehold ownership. This residential plot is all yours for 20 lac.","Plot area 1500
(139.35 sq.m.)  
sq.ft.","₹ 20 Lac
@ 1,333 per sq.ft. View Price Details","Chinarr Nivaasaa
Airport Road, Bhopal",,,,undefined,No,,,,,
"Residential land / Plot in Awadhpuri, Bhopal","Awadhpuri, Bhopal",₹38 Lac,"₹2,455 /sqft","1,548 sqft",(144 sqm),Plot Area,Under Construction,Plot for sale in awadhpuri is available in bhopal. This locality resonates with your modern lifestyle. The plot is around super built up area of 1548 sq.Ft. In size. This residential plot provides you with the opportunity to get possession immediately as it is ready to move. The property is owned under freehold contract. The plot is available at a price of 38 lac.,"Plot area 1548
(143.81 sq.m.)  
sq.ft.","₹ 38 Lac
@ 2,455 per sq.ft.","Awadhpuri, Bhopal",,,,undefined,No,,,,,
"Residential land / Plot in Phanda Kala, Bhopal",Amaltas Golden Mile,₹15 Lac,"₹1,515 /sqft",990 sqft,(92 sqm),Plot Area,Under Construction,Looking for a plot in a prime location of bhopal? This plot in phanda kala is the best deal for you. It spreads over 990 sq.Ft. Super built up area. Construction over this plot can be planned immediately as this plot is ready to move. The property is owned under freehold contract. The plot is available at a price of 15 lac. This plot is facing the east direction.,"Plot area 990
(91.97 sq.m.)  
sq.ft.","₹ 15 Lac
@ 1,515 per sq.ft.","Amaltas Golden Mile
Phanda Kala, Bhopal",East,,,undefined,No,,,,,
"Residential land / Plot in Phanda Kala, Bhopal","Phanda Kala, Bhopal",₹10.5 Lac,₹840 /sqft,"1,250 sqft",(116 sqm),Plot Area,Under Construction,Plot for sale in phanda kala is available in bhopal. This locality resonates with your modern lifestyle. This 1250 sq.Ft. Super built up area plot is your opportunity to build a exceptional residence. This residential plot is ready to move. The owner of the property has freehold entitlement over the land. The asking price is only 10.5 lac.,"Plot area 1250
(116.13 sq.m.)  
sq.ft.","₹ 10.5 Lac
@ 840 per sq.ft.","Phanda Kala, Bhopal",,,,undefined,No,,,,,
"Residential land / Plot in Karond, Bhopal","Karond, Bhopal",₹30 Lac,"₹2,000 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,Well developed colony 15 feet wide road in front west facing property,"Plot area 1500
(139.35 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 30 Lac
@ 2,000 per sq.ft. (All inclusive)","Karond, Bhopal",,1.0,,Immediate,Yes,,,,,
"Residential land / Plot in Ratibad, Bhopal","Ratibad, Bhopal",₹8.5 Lac,₹850 /sqft,"1,000 sqft",(93 sqm),Plot Area,Under Construction,"Water, electricity,cc road ,entry gate ,temple, garden","Plot area 1000
(92.9 sq.m.)  
sq.ft.","₹ 8.5 Lac
@ 850 per sq.ft. (All inclusive)","Ratibad, Bhopal",North-East,1.0,Park/Garden,,,Yes,,,,Yes
"Residential land / Plot in Bhanpur, Bhopal","Bhanpur, Bhopal",₹13.5 Lac,"₹1,500 /sqft",900 sqft,(84 sqm),Plot Area,Ready To Move,Fully constructed colony in front of shakshi marriage garden,"Plot area 900
(83.61 sq.m.)
l x b : 20.00 ft.(6.10 mt.) x 4.00 ft.(1.22 mt.)  
sq.ft.","₹ 13.5 Lac
@ 1,500 per sq.ft. (All inclusive)","Bhanpur, Bhopal",South,1.0,,Immediate,,Yes,,Yes,,
"Residential land / Plot in Katara Hills, Bhopal",Sage Suncity,₹40.7 Lac,"₹3,700 /sqft","1,100 sqft",(102 sqm),Plot Area,Ready To Move,"Sage suncity phase-Ii is a gated community featuring a clubhouse, jogging park, and a peaceful environment. It is conveniently located near sage university and sagar public school, making it an ideal residential choice for families and professionals alike.","Plot area 1100
(102.19 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 22.00 ft.(6.71 mt.)  
sq.ft.","₹ 40.7 Lac+ Govt Charges & Tax
@ 3,700 per sq.ft. (All inclusive, Negotiable)","Sage Suncity
Katara Hills, Bhopal",West,4.0,"Club,Park/Garden,Main Road",,,Yes,,Yes,,
"Residential land / Plot in Chopra Kalan, Bhopal","Chopra Kalan, Bhopal",₹10 Lac,₹833 /sqft,"1,200 sqft",(111 sqm),Plot Area,Under Construction,Planning to purchase a plot in bhopal? This plot in chopra kalan is situated in one of the excellent locations of the city. It spreads over 1200 sq.Ft. Super built up area. Construction over this plot can be planned immediately as this plot is ready to move. Currently the nature of ownership of the property is freehold. The expected price for the property is just 10 lac.,"Plot area 1200
(111.48 sq.m.)  
sq.ft.","₹ 10 Lac
@ 833 per sq.ft.","Chopra Kalan, Bhopal",,,,undefined,No,,,,,
"Residential land / Plot in Semra, Bhopal","Semra, Bhopal",₹6.5 Lac,"₹1,444 /sqft",450 sqft,(42 sqm),Plot Area,Under Construction,"Spacious, ready to build plot in semra, bhopal. It's a 450 sq.Ft. Super built up area property. This residential plot provides you with the opportunity to get possession immediately as it is ready to move. Currently the nature of ownership of the property is freehold. The expected price for the property is just 6.5 lac.","Plot area 450
(41.81 sq.m.)  
sq.ft.","₹ 6.5 Lac
@ 1,444 per sq.ft.","Semra, Bhopal",,,,undefined,No,,,,,
"Residential land / Plot in Arera Colony, Bhopal","Arera Colony, Bhopal",₹7.2 Cr,"₹18,000 /sqft","4,000 sqft",(372 sqm),Plot Area,Under Construction,Planning to purchase a plot in bhopal? This plot in arera colony is situated in one of the excellent locations of the city. It's a 4000 sq.Ft. Super built up area property. No delay in acquiring possession. It's a ready to move property. The property is owned under freehold contract. The plot is available at a price of 7.2 crore. It's a south-Facing plot.,"Plot area 4000
(371.61 sq.m.)  
sq.ft.","₹ 7.2 Crore
@ 18,000 per sq.ft.","Arera Colony, Bhopal",South,,,undefined,No,,,,,
"Residential land / Plot in Katara Hills, Bhopal",Sage Suncity,₹32.4 Lac,"₹2,700 /sqft","1,200 sqft",(111 sqm),Plot Area,Ready To Move,This property is very good and very prime location,"Plot area 1200
(111.48 sq.m.)
l x b : 40.00 ft.(12.19 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 32.4 Lac
@ 2,700 per sq.ft. (Negotiable)","Sage Suncity
Katara Hills, Bhopal",West,2.0,"Club,Park/Garden,Others,Main Road",Immediate,,Yes,,,,
"Residential land / Plot in Karond, Bhopal",Haridwar Heights,₹1.34 Cr,"₹1,231 /sqft","8,932 sqft",(830 sqm),Plot Area,Ready To Move,8932 sq feet plot 5 min away from highway.,"Plot area 8932
(829.81 sq.m.)  
sq.ft.","₹ 1.34 Crore
@ 1,231 per sq.ft.","Haridwar Heights
Karond, Bhopal",,2.0,Main Road,Immediate,No,,,,,
"Residential land / Plot in Ratibad, Bhopal","Ratibad, Bhopal",₹11 Lac,"₹1,100 /sqft","1,000 sqft",(93 sqm),Plot Area,Ready To Move,Infornt of radharaman engineering college six lan highway is under process raod is joining metro project in future the plot worth will be more than 50 lac rupees (Within 5 years) best investment option if i do not have emergency i will never sell this,"Plot area 1000
(92.9 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 25.00 ft.(7.62 mt.)  
sq.ft.","₹ 11 Lac
@ 1,100 per sq.ft. (All inclusive)","Ratibad, Bhopal",North,4.0,,,,Yes,,Yes,,Yes
"Residential land / Plot in Taraisewaniya, Bhopal","Taraisewaniya, Bhopal",₹1.1 Cr,₹146 /sqft,"75,000 sqft","(6,968 sqm)",Plot Area,Ready To Move,Its nearby airport and between the green area,"Plot area 75000
(6967.73 sq.m.)
l x b : 470.00 ft.(143.25 mt.) x 125.00 ft.(38.10 mt.)  
sq.ft.","₹ 1.1 Crore
@ 146 per sq.ft. (All inclusive)","Taraisewaniya, Bhopal",,3.0,,Immediate,Yes,,,,0 Floors,
"Residential land / Plot in Bairagarh, Bhopal",Chirayu Hospital,₹7 Lac,₹700 /sqft,"1,000 sqft",(93 sqm),Plot Area,Under Construction,"I am looking for buyer to purchase land available for sale in bhainsakhedi, indore. Available at price of rs 7 lacs. It has plot area of 1000 sq ft. It is a freehold property","Plot area 1000
(92.9 sq.m.)  
sq.ft.","₹ 7 Lac
@ 700 per sq.ft.","Chirayu Hospital
Bairagarh, Bhopal",,,,Dec 2026,No,,,,,
"Residential land / Plot in Rajharsh Colony, Bhopal","Rajharsh Colony, Bhopal",₹6 Cr,"₹3,000 /sqft","20,000 sqft","(1,858 sqm)",Plot Area,Ready To Move,"1, near dmart square .","Plot area 20000
(1858.06 sq.m.)  
sq.ft.","₹ 6 Crore
@ 3,000 per sq.ft. (Negotiable)","Rajharsh Colony, Bhopal",North,1.0,"Park/Garden,Main Road,Others",,,,,Yes,,Yes
"Residential land / Plot in Sukhi Sewania, Bhopal","Sukhi Sewania, Bhopal",₹7 Lac,₹777 /sqft,900 sqft,(84 sqm),Plot Area,Ready To Move,900 sqft corner plot garden facing plot in covered campus behind surbhi college vidisha road near sukhi sewania station,"Plot area 900
(83.61 sq.m.)  
sq.ft.","₹ 7 Lac
@ 777 per sq.ft.","Sukhi Sewania, Bhopal",,,,Immediate,Yes,Yes,30.0 Feet,,,
"Residential land / Plot in Gopal Nagar, Bhopal","Gopal Nagar, Bhopal",₹59.8 Lac,"₹2,600 /sqft","2,300 sqft",(214 sqm),Plot Area,Under Construction,"Check out this plot for sale in gopal nagar, one of the best locations in bhopal. The plot is around super built up area of 2300 sq.Ft. In size. No delay in acquiring possession. It's a ready to move property. The property belongs to owner through freehold ownership. This residential plot is all yours for 59.8 lac.","Plot area 2300
(213.68 sq.m.)  
sq.ft.","₹ 59.8 Lac
@ 2,600 per sq.ft. View Price Details","Gopal Nagar, Bhopal",,,,undefined,No,,,,,
"Residential land / Plot in Hoshangabad Road, Bhopal",Mirakaar Eastern County,₹32 Lac,"₹3,928 /sqft",840 sqft,(78 sqm),Plot Area,Ready To Move,"Covered campus..Spacious, ready to build plot in hoshangabad road, bhopal. The plot is around super built up area of 840 sq.Ft. In size. This residential plot is ready to move. The property is owned under freehold contract. The plot is available at a price of 18 lac. It's a east-Facing plot.","Plot area 840
(78.04 sq.m.)  
sq.ft.","₹ 32 Lac
@ 3,928 per sq.ft. (Negotiable)","Mirakaar Eastern County
Hoshangabad Road, Bhopal",East,2.0,"Main Road,Others,Club,Park/Garden",Immediate,,Yes,,,,
"Residential land / Plot in Jatkhedi, Bhopal","Jatkhedi, Bhopal",₹42 Lac,"₹4,200 /sqft","1,000 sqft",(93 sqm),Plot Area,Ready To Move,Plot at good location in jatkhedi on hoshangabad road,"Plot area 1000
(92.9 sq.m.)
l x b : 40.00 ft.(12.19 mt.) x 25.00 ft.(7.62 mt.)  
sq.ft.","₹ 42 Lac
@ 4,200 per sq.ft. View Price Details","Jatkhedi, Bhopal",West,1.0,,Immediate,No,,25.0 Feet,,,
"Residential land / Plot in Misrod, Bhopal",Globus Coral Woods,₹1.23 Cr,"₹8,200 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,Best plot in hoshangabad road cor,"Plot area 1500
(139.35 sq.m.)  
sq.ft.","₹ 1.23 Crore
@ 8,200 per sq.ft. View Price Details","Globus Coral Woods
Misrod, Bhopal",North-East,2.0,"Club,Main Road,Park/Garden,Pool,Others",Immediate    View Construction Status,No,,,,,
